STATION,STATION_NAME,DATE,PRCP,SNWD,SNOW,TMAX,TMIN
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20140615,0,-9999,0,178,117
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20140616,0,-9999,0,156,111
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20140617,0,-9999,0,194,106
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20140618,0,-9999,0,256,117
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20140619,0,-9999,0,183,117
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20140620,0,-9999,0,217,117
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20140621,0,-9999,0,156,117
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20140622,0,-9999,0,167,111
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20140623,0,-9999,0,194,111
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20140624,0,-9999,0,189,128
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20140625,0,-9999,0,167,122
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20140626,3,-9999,0,183,128
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20140627,0,-9999,0,194,128
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20140628,0,-9999,0,200,122
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20140629,0,-9999,0,228,128
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20140630,0,-9999,0,228,133
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20140701,0,-9999,-9999,183,128
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20140702,0,-9999,0,183,122
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20140703,0,-9999,0,183,122
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20140704,0,-9999,0,167,122
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20140705,0,-9999,0,183,122
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20140706,0,-9999,0,189,117
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20140707,0,-9999,0,200,122
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20140708,0,-9999,0,178,128
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20140709,0,-9999,0,200,139
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20140710,0,-9999,0,200,139
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20140711,0,-9999,0,200,139
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20140712,0,-9999,0,178,128
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20140713,0,-9999,0,194,122
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20140714,0,-9999,0,222,139
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20140715,0,-9999,0,228,133
